Diena;Temperatura;Krituliai;Vejas
1;-4.5;8.0;4.2
2;-5.8;6.0;14.3
3;-7.8;9.5;4.1
4;-2.7;7.7;16.5
5;-6.4;8.9;6.2
6;-5.7;8.2;4.5
7;-6.1;7.3;3.3
8;-0.5;8.4;14.1
9;-8.3;1.4;19.5
10;-13.1;10.3;10.9
11;2.9;9.8;6.9
12;-4.9;5.3;8.2
13;-3.8;9.6;18.0
14;-7.5;7.3;19.7
15;-7.1;11.5;3.9
16;-1.6;6.6;17.1
17;2.6;4.8;15.3
18;-8.9;2.9;4.0
19;2.2;5.2;19.8
20;-8.9;9.9;10.3
21;-9.9;11.3;4.4
22;2.4;6.2;16.8
23;-9.9;5.0;11.5
24;2.2;2.9;14.4
25;-3.6;9.2;11.5
26;-1.0;1.0;14.9
27;2.2;11.2;12.5
28;-2.3;2.5;6.5
29;-10.6;4.5;5.3
30;-14.1;12.0;13.5
31;0.2;5.9;10.9
32;-0.2;3.4;18.1
33;-3.9;0.5;4.0
34;-14.6;11.2;12.1
35;-7.3;10.6;16.1
36;-4.6;4.3;11.3
37;-5.9;1.5;6.0
38;-11.6;3.0;9.6
39;-6.0;8.1;15.5
40;-8.2;8.2;11.9
41;-14.8;0.4;7.9
42;-11.2;10.9;19.5
43;-4.8;0.6;10.3
44;-10.7;11.3;15.5
45;-7.7;11.7;8.4
46;0.0;3.0;10.4
47;-12.5;4.5;16.4
48;-3.1;11.3;12.0
49;-4.9;0.3;8.8
50;1.7;11.7;17.2
51;-9.9;2.3;9.3
52;-13.4;11.8;3.9
53;2.1;8.7;6.9
54;-12.7;2.2;10.2
55;-7.2;9.3;9.7
56;0.3;9.6;8.9
57;-11.0;11.3;3.6
58;-9.9;9.9;3.5
59;-13.9;3.0;7.2
60;5.9;18.5;1.7
61;6.3;11.8;4.3
62;6.8;3.7;1.7
63;15.8;13.0;10.2
64;0.3;1.7;6.8
65;4.5;1.9;14.9
66;17.2;14.2;9.9
67;9.9;16.6;5.0
68;3.1;4.0;5.4
69;2.7;17.7;7.8
70;8.1;4.9;14.5
71;2.4;13.6;14.9
72;8.1;14.4;3.9
73;16.8;13.8;2.6
74;9.6;8.8;4.3
75;8.3;15.1;7.3
76;13.4;14.9;2.0
77;1.1;2.2;11.5
78;11.2;8.6;1.9
79;10.6;6.5;9.0
80;10.3;6.1;11.7
81;7.3;16.6;2.7
82;2.9;7.3;13.3
83;17.7;18.7;4.8
84;11.8;11.6;14.9
85;4.1;18.3;13.7
86;15.6;15.3;1.5
87;1.7;12.1;9.5
88;2.8;6.7;10.9
89;1.2;3.6;8.6
90;1.8;6.4;1.4
91;5.4;12.8;9.7
92;7.2;12.1;3.3
93;10.0;12.7;13.9
94;4.4;6.8;1.7
95;11.5;2.7;1.3
96;13.9;12.7;1.6
97;4.0;2.2;9.4
98;14.2;9.5;12.2
